codigo,pir
1100015001001,BMBYBnBwBbBWBOBIBLBFA3AkAdAWAUAQAGACABBMBVBeBlBaBVBLBLBCA7ApAkAbAXASAHADABAB
1100023003001,BHBKBYBZBiBbBNBGBGBEA6ApAeASAGAGAJACABBKBHBRBjBqBjBUBTBVBJA2AuAVAWALAHAPACAA
1100023003002,BZBjB4BnBaBXBSBRBOA/ApApAVAWANAHAEABAABPBiBrBhBZBYBZBHA/AzAiAgARAYAMAEACAAAB
1100023003003,BXBmBtBlBhBgBWBRBJA2AtAcAYAQAUAFAJAAABBRBjBsBkBgBdBSBKA+AuAnAaAYARAKAHADAAAB
1100023003004,BRBaBmBlBqBcBUBHBIA0AsAdASAWAKAFABAEADBTBbBjBqBsBkBbBSBHA0AqAcAXALALAJAGABAA
1100031001001,BOBQBjBkBIBPBLBNBOBDBIAtApAgAUALAIAAAABVBQBcBYBGBWBHBEBGBAA5ArAgAPAWAMAGACAB
1100049003001,BSBaBvBpBSBSBMBJBGBBAzArAlAhARAQAIAEABBSBcBlBaBOBKBKBDA9A4AzAmAiASAUALAGACAB
1100049003002,BPBdBqBmBfBUBWBNBJA4A4AYAWASAPAIAHAEABBLBXBoBkBfBeBgBPBBA3AtAaAUAYAHAOAGACAB
1100049003003,BIBCBTBjBnBaBNBHBIBEAtArAfAMAPAHAHADAABDBABUBpBzBcBWBXBRBEA+AlAcAUASAJAGAEAB
1100049003004,BNBQBYBlBlBdBSBNBHA8AvAkAWAVAOAGADADABBIBLBcBiBsBhBbBRBNBAA5AdAVATANARADACAA
1100056001001,BMBSBjBnBaBQBLBFBLBEAyAlAaAdAWANAIACABBDBNBdBjBdBWBQBOBKBAAwAkAiAbAOANAFADAD
1100064001001,BLBNBaBhBWBUBRBGBGBAA3AmApAaAWALAHAGACBLBMBZBfBaBcBPBNBBA+AwAyAkAVAWANAFADAC
1100072001001,BKBaBuByBcBXBQBRBSBHA5ArAfAYAUAHAHACAABCBRBhBmBMBQBUBLA+AzAqAjAVAVAMAMAGADAB
1100080001001,BmBxB+BvBXBgBUBHA+A3AlAlAaAQAPAHAFADAABkBuB3BfBSBYBRBAAxApAnAaAUAPAGAGAFABAB
1100098003001,BWBWBkBgBdBZBVBQBGA+A1AiAfAUAKAKAGAEAABNBWBiBgBeBcBYBJA/A2AoApAdAQAQAKAEAFAB
1100106003001,BbBgBkBaBUBUBRBMBGA8AnAkATAYAOAGAJADADBNBfBlBfBWBWBbBMBEA6AmAoAfAaATAIAIAIAF
