codigo,pir
1100015,BKBJBKBQBJBIBLBFBHBEBDA6A1AnAZASAIAJACBHBEBFBLBFBLBPBJBNBMA8A8AuAjAYAPANAEAB
1100023,BKBNBKBPBVBXBOBLBLBBA7AzAnAfASAMAJACACBIBHBHBOBSBWBRBWBPBHA9AzAqAcAWANAJAEAB
1100031,BBBABKBIAxA1BFBEBUBBBQBCA+A2AlAVARALABA6BDBRBEAsA+BHBTBLA+BGBAA8AxAbAVAPALAA
1100049,BCBDBFBJBTBUBQBOBLBAA7A2AtAfAWAOAJAEACBDBDBBBJBXBWBTBSBSBGBCA3AvAjAXAQAIAHAD
1100056,BJBGBEBKBFBTBQBIBHBDA8A6AuAgAbAVAJAKAABKBLBCBFA/BQBUBTBLBFA+A8AwAlAcARANADAE
1100064,BMBGA+BJBAA6A/BNBFBPBBBDA5AqAdAXAPAHACA2BDBDBGBABBBIBOBMBKBFBDA1ApAeAYARAKAD
1100072,BLBEBFBJBIBCBOBTBKBLBIBKA5AtAaAQALAGABBABKA5BEA8BKBMBOBQBHBHA6AxAcAWARAFADAD
1100080,BHBVBcBeBSBLBIBNBQBIA7A+AmAbAZAQAGADAABYBcBRBUBPBJBHBGA6BIAsAyAoAYAUAIAGADAC
1100098,BIBJBJBNBMBJBOBQBQBFA/A5AsAiAXAPAKAFABBJBHBFBMBOBKBPBUBPBFA9AyAsAgAZAOALAGAA
1100106,BVBcBfBcBTBFBIBEBJBAA3AvApAXAVAKAFAEADBWBTBbBZBMBLBGBKBHBEA2AxAlAdAUAOAJADAB
1100114,BLBGBDBEBQBOBOBLBPBBA+A0AsAiAZARAKAFAEBDBDBABOBTBWBOBPBTBHA8A7ArAjAaAQAKAHAC
1100122,BIBMBIBMBNBRBRBRBKBAA6A1ApAeAWANAKADADBFBIBDBLBOBTBUBWBQBGA+A3AtAiAYAQAJAGAC
1100130,BSBSBUBXBFBIBSBJBZBKA7AxAvAoAaANAJAEADBRBGBQBIBDBJBMBXBYA8A0AsAnAeAUANAEACAB
1100148,BHBEA+BMBKBQBGBOBPBQBGA4A1AmAdASAMAFAEBBA5BEBPBCBDBOBQBPBKA/A2AwAmAdAOAGAGAF
1100155,BFBCBGBGBFBJBJBOBPBAA+A8AyAkAcASALAHADA+BCBCBHBIBKBPBTBRBEBHBAAzAmAcATAOAGAD
1100189,BQBLBIBMBSBTBBBXBPBFA8AxAqAlAUANAGADACBFBDBIBOBRBOBOBUBSBBA+A2AzAkASAIAKACAE
1100205,BIBPBPBNBTBTBUBUBNA+A3AxAnAbAQAJAGADABBFBNBMBMBVBZBTBaBTBCA8AzAqAcASALAHAEAC
1100254,A/BGBHBGA/BDA9BJBLBGBFA+A7AvAgAVANAFAFA+A+BABGA+BDBGBJBPBKBFBGA8AsAgASAOAFAG
1100262,BJBRBRBcBABIA/BQBRBQBFBFA4ApAjAMAGAHACBABCBDA8BJBCBGBRBIBDA9BEArAdASASAGACAE
1100288,BGBFBFBIBUBSBTBIBNA+A8A6AsAiAWAOAJAEACBCBIBDBJBRBWBRBTBQBFBCA4AtAhAZARAIAFAB
1100296,BABFBHBHA3BABEBCBPBFBRBHA5AtAeAUAQAGADA/A6BGBCA6A9BHBIBSBLBOBFAyAqAhAYALALAC
1100304,BNBJBIBPBNBSBSBQBOBBA+AxAnAbATALAJADACBHBJBIBMBQBUBXBYBQBEBBAzAtAdAUAOAHAEAC
1100320,BNBMBJBOBOBOBLBNBPBIBAA8AsAiAWAPAGAFAFBQBFBEBLBOBTBSBPBOBFA4A0AoAeAUANAEAIAA
1100338,BRBUBiBcBWBIBFBLBQA8A7A8AmAbATAKAKACABBGBcBTBUBNBNBLBQBcA5AwAyAaAdAMALAGAEAC
1100346,BFBGBGBHBBBGBABEBOBEBJBGA1AtAdAWAOAGAEA/A+BBBJBDBDBGBLBTBEBIA9A4ApAdASAKAJAC
1100379,BIBNBPBPBCBPBGBLBKBKBGBAAwAnAcAQAHAGACBQBJBJBNBABHBNBLBLBCBCA3AoAgAVAQAGAIAB
1100403,BHBKBQBRBOBIBFBJBPBIBDBAAyAhAaAQAKAEAFBPBIBLBOBRBIBJBMBJBEA9AxAmAhAVAPAMABAA
1100452,BOBMBOBVBOBOBIBPBQBGA9A0AqAiAXAPAJADACBLBNBNBTBPBLBPBVBPBBA2AvAoAeASALAIABAA
1100502,BCBABGBMA8BHBBBFBMBKBPBEA9AyAdAWASABAEA/A9BFBAA6BDBEBRBKBOBFBBAwArAcASAMAHAC
1100601,BRBJBJBUA5A/BPBFBJBGA7BEA3AkAqAQAWAKAABGBDBNBABEBCBSBJBFA5A8A5AvAqAPAaAOAJAI
1100700,BRBRBSBYBKBFBBBKBLBRBOBAA3AjAZARAIAEAABFBGBVBNBDA+BHBIBSBFA+A4AkAbAWAJAEACAD
1100809,BWBWBVBXBTBPBKBNBMA8A4A2AsAjAXAOAHADACBPBUBTBQBQBPBGBOBJA/A3AtAoAaASALAEADAC
1100908,BABGBRA+AxBDBABDBXBPBDBNA8ArAhAYASAKADA7BIA7BAA6BNBHBABKBQBIBFAqAnAhAVAMAKAA
1100924,BQBSBZBRBNBRBRBUBSBDA4AvAqAeAPAKAHAFAABTBYBXBQBNBVBOBVBLBBA4AsAgATAQAGAIAAAB
1100940,BXBTBWBRBMBMBKBTBWBJBEA0AmAhATAJAGADACBUBUBPBSBPBQBOBQBUA9A0ApAfAVANAJAFACAA
1101005,BJBLBBBNBGA/BGBKBOBGBJBCAyAmAeAUAQAGADA+BJBOBIBEBGBHBHBLBMBEA0AtAlAbAUAIADAD
1101104,BaBbBZBYBOBHBGBSBLA9A3A4AuAoAUAQAFAEAFBNBTBYBKBMBIBKBGBGA9A5AuApAcATALAHAEAA
1101203,A7A7BPBPBJBAA4BEBGBPBSBGA2ApAhAVASAGAEA2A6BDBNBEA9BBBLBPBYBDA7AtArAiATAPAFAF
1101302,BEBEBCBMBFBKBABKBIBQBHBAAyAuAcAQAOAGAEA/BBBBBMBJBCBBBOBSBOA3A+AyAuAeAQANAFAB
1101401,BKBIBOBUBMBFA/BHBOBMBEBCAxAmAgAUAOAFADBABEBBBNBDBGBCBSBPBGA7A2AvAmAYARALABAD
1101435,A9BABKBUBIBIBBBNBKBNBIA/A3ArAXAWAJAKADBBBBBNBJA9A9BGBPBSBQBBA8AvAhAZAVAKAHAA
1101450,BMBBBTBSBNBABKBPBMBPBGBRAwAjAYARAJAKAABIBNBCBJBDBEBQBLBMBFBDAxAoAZATARAJABAA
1101468,BbBMBSBJBCBJBLBJBCBTA8A6AxAuAUAHANACAABPBTBVBRA2BEBEBTBSBEA/A4AsAVAZAPAIAAAH
1101476,BLBPBIBGA3AzA+BVBOBKBGBFA8AwAiAVAHARAAA5BIBJA1A5BABHBPBPBHBCBAA5AqAfATAHAMAA
1101484,A3A/BFBJAuA/BABDBUBJBOBWA6AzAnAYAVAIADA7A4BDBAA2A4BOBKBVBIBDBCA/AsAcAWAQAEAA
1101492,BSBRBZBVBKBPBNBJBMBIA5A0ApAfATAOALABACBOBQBMBNBMBTBYBSBKA/A2AvAnAaAUAKAFAFAA
1101500,BJBLBOBSBLBQBLBJBKBDBDBAA2AjAWANAGALABBHBOBDBRBLBPBPBLBGBBBBA3ApAeAQAOAGAHAB
1101559,A9BCA+BDBMA8A7BQBMA+BPBIA7AsAlAaARAIADA+BGA9BQA+BAA7BABaBLBBBHAvAnAnASADAOAG
1101609,BCBABLBLA8A2A6BOBPBOBOBOBFAxAiAVALAHAAA+BEBKBGA0A8A/BFBdBIBCA7A4AlAbASARAEAA
1101708,BLBDA/BPBEBEBHBJBLBLA+A9A0AvAjATAOAEAFA/BCBEBJBFBHBJBQBKBGA+A4AyAoAhARANAEAD
1101757,BFBQBXBNA7BEA9BHBOBNBKBDA8ApAkAVAMADABBABJBCBFA+A/BJBPBPBKA/A7ApAmAaANAJAEAC
1101807,A9BCBCBLBAA+A8BJBRA+BaBEA7AxAkAVAMAHAGA4A9A8BGBABCA6BJBeBRBGA9AyAnAhAUAHANAD
